Location ID,Location,Date,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
37001,Alamance County,2021-01-31,4.15,91,0.5,3.65
37001,Alamance County,2021-02-28,6.27,122,2.79,3.48
37001,Alamance County,2021-03-31,3.7,62,-0.34,4.04
37001,Alamance County,2021-04-30,2.14,24,-1.29,3.43
37001,Alamance County,2021-05-31,2.11,21,-1.69,3.8
37001,Alamance County,2021-06-30,4.21,75,0.17,4.04
37001,Alamance County,2021-07-31,5.33,86,0.47,4.86
37001,Alamance County,2021-08-31,5.03,83,0.3,4.73
37001,Alamance County,2021-09-30,3.83,72,0.03,3.8
37001,Alamance County,2021-10-31,2.39,58,-0.69,3.08
37001,Alamance County,2021-11-30,0.48,8,-2.33,2.81
37001,Alamance County,2021-12-31,1.41,9,-1.96,3.37
37003,Alexander County,2021-01-31,3.17,60,-0.65,3.82
37003,Alexander County,2021-02-28,5.27,106,1.53,3.74
37003,Alexander County,2021-03-31,5.1,92,0.68,4.42
37003,Alexander County,2021-04-30,1.78,17,-1.85,3.63
37003,Alexander County,2021-05-31,3.01,43,-0.85,3.86
37003,Alexander County,2021-06-30,3.11,35,-1.25,4.36
37003,Alexander County,2021-07-31,4.73,76,-0.06,4.79
37003,Alexander County,2021-08-31,5.02,80,0.24,4.78
37003,Alexander County,2021-09-30,1.76,26,-1.91,3.67
37003,Alexander County,2021-10-31,3.33,72,-0.1,3.43
37003,Alexander County,2021-11-30,0.38,2,-2.56,2.94
37003,Alexander County,2021-12-31,0.9,4,-2.86,3.76
37005,Alleghany County,2021-01-31,2.91,49,-0.84,3.75
37005,Alleghany County,2021-02-28,4.29,89,0.61,3.68
37005,Alleghany County,2021-03-31,4.82,78,0.15,4.67
37005,Alleghany County,2021-04-30,3.55,46,-0.63,4.18
37005,Alleghany County,2021-05-31,3.01,30,-1.45,4.46
37005,Alleghany County,2021-06-30,3.62,45,-0.86,4.48
37005,Alleghany County,2021-07-31,5.02,69,-0.12,5.14
37005,Alleghany County,2021-08-31,7.16,105,2.01,5.15
37005,Alleghany County,2021-09-30,3.93,69,-0.17,4.1
37005,Alleghany County,2021-10-31,7.36,111,3.45,3.91
37005,Alleghany County,2021-11-30,1.09,11,-2.51,3.6
37005,Alleghany County,2021-12-31,0.88,3,-2.86,3.74
37007,Anson County,2021-01-31,5.14,105,1.44,3.7
37007,Anson County,2021-02-28,6.35,117,2.58,3.77
37007,Anson County,2021-03-31,2.72,31,-1.3,4.02
37007,Anson County,2021-04-30,1.16,10,-2.14,3.3
37007,Anson County,2021-05-31,1.69,12,-1.98,3.67
37007,Anson County,2021-06-30,4.91,82,0.62,4.29
37007,Anson County,2021-07-31,4.6,60,-0.56,5.16
37007,Anson County,2021-08-31,3.95,53,-0.97,4.92
37007,Anson County,2021-09-30,4.06,80,0.28,3.78
37007,Anson County,2021-10-31,2.49,65,-0.54,3.03
37007,Anson County,2021-11-30,0.86,17,-1.84,2.7
37007,Anson County,2021-12-31,3.01,61,-0.35,3.36
37009,Ashe County,2021-01-31,2.89,42,-0.94,3.83
37009,Ashe County,2021-02-28,4.17,84,0.45,3.72
37009,Ashe County,2021-03-31,5.26,92,0.63,4.63
37009,Ashe County,2021-04-30,3.8,51,-0.31,4.11
37009,Ashe County,2021-05-31,2.57,17,-2.07,4.64
37009,Ashe County,2021-06-30,3.81,43,-0.96,4.77
37009,Ashe County,2021-07-31,6.05,92,0.76,5.29
37009,Ashe County,2021-08-31,6.86,106,1.8,5.06
37009,Ashe County,2021-09-30,3.38,53,-0.64,4.02
37009,Ashe County,2021-10-31,6.81,112,3.17,3.64
37009,Ashe County,2021-11-30,1.37,15,-2.06,3.43
37009,Ashe County,2021-12-31,0.74,2,-2.9,3.64
37011,Avery County,2021-01-31,3.74,59,-0.5,4.24
37011,Avery County,2021-02-28,4.36,83,0.24,4.12
37011,Avery County,2021-03-31,5.96,94,0.81,5.15
37011,Avery County,2021-04-30,3.53,45,-0.78,4.31
37011,Avery County,2021-05-31,2.94,20,-1.78,4.72
37011,Avery County,2021-06-30,4.68,60,-0.25,4.93
37011,Avery County,2021-07-31,5.54,72,0,5.54
37011,Avery County,2021-08-31,8.22,116,2.82,5.4
37011,Avery County,2021-09-30,3.82,59,-0.6,4.42
37011,Avery County,2021-10-31,7.59,112,3.54,4.05
37011,Avery County,2021-11-30,1.66,16,-2.18,3.84
37011,Avery County,2021-12-31,1.19,3,-2.84,4.03
37013,Beaufort County,2021-01-31,5.27,104,1.38,3.89
37013,Beaufort County,2021-02-28,8.01,127,4.29,3.72
37013,Beaufort County,2021-03-31,2.93,33,-0.96,3.89
